57,"Mister Scissors, 7/1",51,"Measles Smeezles, 15/1",83,"Sumptin Saucy, EVENS",44,"It's a Trap, EVENS",41,"Hippie Crack, 23/1",30,"Durban Poison, 20/1"
79,"Social Media Warrior, 27/1",67,"Omens and Ice, 3/1",93,"Uptown Rider, 14/1",69,"Pretty as a Pistol, 4/1",55,"Miss Triggered, 19/1",71,"Reach Around Town, 6/1"
62,"Night-time Mare, 16/1",92,"Turnt Mood, 12/1",91,"Total Belter, EVENS",70,"Questionable Dignity, 12/1",56,"Mister Redacted, 19/1",97,"Yay Yo Let's Go, 3/1"
86,"Tea Ache Sea, 24/1",93,"Uptown Rider, 14/1",88,"There She Blows, 2/1",54,"Miss Mary John, 22/1",24,"Doozy Floozy, 13/1",26,"Dr. Deez Reins, 5/1"
48,"Lonely Stepbrother, 3/1",73,"Salt 'n' Sauce, EVENS",22,"Dexie Runner, 6/1",2,"Banana Hammock, 16/1",38,"Hard Time Done, 18/1",95,"Wee Scunner, 8/1"
30,"Durban Poison, 20/1",38,"Hard Time Done, 18/1",42,"Hot & Bothered, 2/1",63,"Northern Lights, 15/1",72,"Robocall, 4/1",33,"Flipped Wig, 12/1"
24,"Doozy Floozy, 13/1",86,"Tea Ache Sea, 24/1",48,"Lonely Stepbrother, 3/1",38,"Hard Time Done, 18/1",27,"Dream Shatterer, EVENS",85,"Tax the Poor, 13/1"
9,"Cancelled Check, 25/1",76,"Sir Scrambled, 26/1",95,"Wee Scunner, 8/1",14,"Crackers and Please, 3/1",24,"Doozy Floozy, 13/1",98,"Yellow Sunshine, 5/1"
51,"Measles Smeezles, 15/1",69,"Pretty as a Pistol, 4/1",64,"Nuns Orders, 9/1",0,"A Tethered End, 27/1",48,"Lonely Stepbrother, 3/1",31,"Feed the Trolls, 30/1"
16,"Crock Janley, 8/1",26,"Dr. Deez Reins, 5/1",1,"Bad Egg, 29/1",56,"Mister Redacted, 19/1",97,"Yay Yo Let's Go, 3/1",45,"Kraff Running, 14/1"
78,"Snatched Your Mama, EVENS",82,"Stupid Money, 30/1",2,"Banana Hammock, 16/1",67,"Omens and Ice, 3/1",22,"Dexie Runner, 6/1",85,"Tax the Poor, 13/1"
67,"Omens and Ice, 3/1",59,"Moon Rocks, 4/1",63,"Northern Lights, 15/1",19,"Darling Ricki, 22/1",89,"Throwing Shady, 21/1",57,"Mister Scissors, 7/1"
57,"Mister Scissors, 7/1",20,"Dead Fam, 26/1",60,"Mr. Worthwhile, 2/1",78,"Snatched Your Mama, EVENS",17,"Dancin' Pole, 9/1",31,"Feed the Trolls, 30/1"
17,"Dancin' Pole, 9/1",9,"Cancelled Check, 25/1",88,"There She Blows, 2/1",60,"Mr. Worthwhile, 2/1",71,"Reach Around Town, 6/1",53,"Minimum Wager, 26/1"
79,"Social Media Warrior, 27/1",18,"Dancin' Shoes, 5/1",70,"Questionable Dignity, 12/1",94,"Wage of Consent, 21/1",63,"Northern Lights, 15/1",78,"Snatched Your Mama, EVENS"
79,"Social Media Warrior, 27/1",49,"Los Santos Savior, 5/1",1,"Bad Egg, 29/1",22,"Dexie Runner, 6/1",35,"Getting Haughty, 3/1",11,"Clapback Charlie, 10/1"
70,"Questionable Dignity, 12/1",85,"Tax the Poor, 13/1",49,"Los Santos Savior, 5/1",12,"Constant Brag, 3/1",65,"Ol' Skag, 28/1",38,"Hard Time Done, 18/1"
