60,"Mr. Worthwhile, 2/1",78,"Snatched Your Mama, EVENS",7,"Borrowed Sorrow, 12/1"
3,"Better than Nothing, 15/1",42,"Hot & Bothered, 2/1",69,"Pretty as a Pistol, 4/1"
64,"Nuns Orders, 9/1",46,"Lead Is out, 3/1",82,"Stupid Money, 30/1"
6,"Blue Dream, 2/1",70,"Questionable Dignity, 12/1",46,"Lead Is out, 3/1"
18,"Dancin' Shoes, 5/1",57,"Mister Scissors, 7/1",85,"Tax the Poor, 13/1"
0,"A Tethered End, 27/1",47,"Lit as Truck, EVENS",8,"Bouncy Blessed, 5/1"
63,"Northern Lights, 15/1",27,"Dream Shatterer, EVENS",80,"Square to Go, 6/1"
47,"Lit as Truck, EVENS",61,"Mud Dragon, 5/1",80,"Square to Go, 6/1"
78,"Snatched Your Mama, EVENS",98,"Yellow Sunshine, 5/1",52,"Micro Aggression, 8/1"
65,"Ol' Skag, 28/1",47,"Lit as Truck, EVENS",26,"Dr. Deez Reins, 5/1"
42,"Hot & Bothered, 2/1",35,"Getting Haughty, 3/1",3,"Better than Nothing, 15/1"
48,"Lonely Stepbrother, 3/1",8,"Bouncy Blessed, 5/1",22,"Dexie Runner, 6/1"
73,"Salt 'n' Sauce, EVENS",39,"Hell for Weather, 2/1",17,"Dancin' Pole, 9/1"
6,"Blue Dream, 2/1",96,"Worth a Kingdom, 2/1",45,"Kraff Running, 14/1"
50,"Lover's Speed, 2/1",18,"Dancin' Shoes, 5/1",81,"Study Buddy, 15/1"
91,"Total Belter, EVENS",67,"Omens and Ice, 3/1",41,"Hippie Crack, 23/1"
53,"Minimum Wager, 26/1",25,"Downtown Renown, 4/1",95,"Wee Scunner, 8/1"
6,"Blue Dream, 2/1",16,"Crock Janley, 8/1",67,"Omens and Ice, 3/1"
59,"Moon Rocks, 4/1",24,"Doozy Floozy, 13/1",39,"Hell for Weather, 2/1"
27,"Dream Shatterer, EVENS",77,"Sizzurp, 13/1",34,"Friendly Fire, 9/1"
73,"Salt 'n' Sauce, EVENS",70,"Questionable Dignity, 12/1",64,"Nuns Orders, 9/1"
84,"Sweet Releaf, 4/1",59,"Moon Rocks, 4/1",85,"Tax the Poor, 13/1"
97,"Yay Yo Let's Go, 3/1",3,"Better than Nothing, 15/1",67,"Omens and Ice, 3/1"
26,"Dr. Deez Reins, 5/1",49,"Los Santos Savior, 5/1",52,"Micro Aggression, 8/1"
66,"Old Ill Will, 29/1",42,"Hot & Bothered, 2/1",17,"Dancin' Pole, 9/1"
22,"Dexie Runner, 6/1",50,"Lover's Speed, 2/1",78,"Snatched Your Mama, EVENS"
22,"Dexie Runner, 6/1",27,"Dream Shatterer, EVENS",49,"Los Santos Savior, 5/1"
96,"Worth a Kingdom, 2/1",88,"There She Blows, 2/1",51,"Measles Smeezles, 15/1"
46,"Lead Is out, 3/1",73,"Salt 'n' Sauce, EVENS",77,"Sizzurp, 13/1"
26,"Dr. Deez Reins, 5/1",43,"Invade Grenade, 13/1",35,"Getting Haughty, 3/1"
18,"Dancin' Shoes, 5/1",14,"Crackers and Please, 3/1",56,"Mister Redacted, 19/1"
14,"Crackers and Please, 3/1",39,"Hell for Weather, 2/1",11,"Clapback Charlie, 10/1"
74,"Salty and Woke, 17/1",33,"Flipped Wig, 12/1",3,"Better than Nothing, 15/1"
15,"Creepy Dentist, 7/1",71,"Reach Around Town, 6/1",10,"Can't Be Wronger, 28/1"
97,"Yay Yo Let's Go, 3/1",57,"Mister Scissors, 7/1",15,"Creepy Dentist, 7/1"
96,"Worth a Kingdom, 2/1",37,"Glass or Tina, 23/1",29,"Drunken Brandee, 14/1"
42,"Hot & Bothered, 2/1",46,"Lead Is out, 3/1",64,"Nuns Orders, 9/1"
97,"Yay Yo Let's Go, 3/1",91,"Total Belter, EVENS",17,"Dancin' Pole, 9/1"
24,"Doozy Floozy, 13/1",61,"Mud Dragon, 5/1",62,"Night-time Mare, 16/1"
40,"Hennigan's Steed, 4/1",55,"Miss Triggered, 19/1",35,"Getting Haughty, 3/1"
63,"Northern Lights, 15/1",35,"Getting Haughty, 3/1",10,"Can't Be Wronger, 28/1"
8,"Bouncy Blessed, 5/1",42,"Hot & Bothered, 2/1",65,"Ol' Skag, 28/1"
60,"Mr. Worthwhile, 2/1",44,"It's a Trap, EVENS",95,"Wee Scunner, 8/1"
70,"Questionable Dignity, 12/1",35,"Getting Haughty, 3/1",67,"Omens and Ice, 3/1"
11,"Clapback Charlie, 10/1",47,"Lit as Truck, EVENS",94,"Wage of Consent, 21/1"
97,"Yay Yo Let's Go, 3/1",67,"Omens and Ice, 3/1",3,"Better than Nothing, 15/1"
27,"Dream Shatterer, EVENS",46,"Lead Is out, 3/1",81,"Study Buddy, 15/1"
6,"Blue Dream, 2/1",96,"Worth a Kingdom, 2/1",65,"Ol' Skag, 28/1"
81,"Study Buddy, 15/1",22,"Dexie Runner, 6/1",46,"Lead Is out, 3/1"
50,"Lover's Speed, 2/1",27,"Dream Shatterer, EVENS",5,"Bleet Me Baby, 7/1"
96,"Worth a Kingdom, 2/1",42,"Hot & Bothered, 2/1",11,"Clapback Charlie, 10/1"
8,"Bouncy Blessed, 5/1",96,"Worth a Kingdom, 2/1",33,"Flipped Wig, 12/1"
3,"Better than Nothing, 15/1",76,"Sir Scrambled, 26/1",18,"Dancin' Shoes, 5/1"
91,"Total Belter, EVENS",67,"Omens and Ice, 3/1",2,"Banana Hammock, 16/1"
47,"Lit as Truck, EVENS",32,"Fire Hazards, 24/1",11,"Clapback Charlie, 10/1"
46,"Lead Is out, 3/1",42,"Hot & Bothered, 2/1",23,"Divorced Doctor, 7/1"
50,"Lover's Speed, 2/1",27,"Dream Shatterer, EVENS",95,"Wee Scunner, 8/1"
27,"Dream Shatterer, EVENS",72,"Robocall, 4/1",17,"Dancin' Pole, 9/1"
